BASE_DIR: C:\code\Systematic Trading\cursor. Лог файл: C:\code\Systematic Trading\cursor\private\instruments_status.log. Вход в функцию instruments_status
Запрос статуса инструментов: 928 записей найдено
Инструмент ID 3017: instrument: BRM, contract: 20250200
Инструмент ID 3018: instrument: BANE, contract: 20230900
Инструмент ID 3019: instrument: BANE, contract: 20240300
Инструмент ID 3020: instrument: BANE, contract: 20231200
Инструмент ID 3021: instrument: BANE, contract: 20250600
Инструмент ID 3022: instrument: BANE, contract: 20250300
Инструмент ID 3023: instrument: BANE, contract: 20240900
Инструмент ID 3024: instrument: BANE, contract: 20240600
Инструмент ID 3025: instrument: BANE, contract: 20241200
Инструмент ID 3026: instrument: BR, contract: 20240500
Инструмент ID 3027: instrument: BR, contract: 20250300
Инструмент ID 3028: instrument: BR, contract: 20260100
Инструмент ID 3029: instrument: BR, contract: 20250100
Инструмент ID 3030: instrument: BR, contract: 20231100
Инструмент ID 3031: instrument: BR, contract: 20250900
Инструмент ID 3032: instrument: BR, contract: 20240400
Инструмент ID 3033: instrument: BR, contract: 20241200
Инструмент ID 3034: instrument: BR, contract: 20241100
Инструмент ID 3035: instrument: BR, contract: 20240300
Инструмент ID 3036: instrument: BR, contract: 20240800
Инструмент ID 3037: instrument: BR, contract: 20250600
Инструмент ID 3038: instrument: BR, contract: 20240100
Инструмент ID 3039: instrument: BR, contract: 20241000
Инструмент ID 3040: instrument: BR, contract: 20250400
Инструмент ID 3041: instrument: BR, contract: 20251200
Инструмент ID 3042: instrument: BR, contract: 20250700
Инструмент ID 3043: instrument: BR, contract: 20240200
Инструмент ID 3044: instrument: BR, contract: 20251000
Инструмент ID 3045: instrument: BR, contract: 20240900
Инструмент ID 3046: instrument: BR, contract: 20240700
Инструмент ID 3047: instrument: BR, contract: 20250200
Инструмент ID 3048: instrument: BR, contract: 20240600
Инструмент ID 3049: instrument: BR, contract: 20250800
Инструмент ID 3050: instrument: BR, contract: 20250500
Инструмент ID 3051: instrument: BR, contract: 20260200
Инструмент ID 3052: instrument: BR, contract: 20251100
Инструмент ID 3053: instrument: BR, contract: 20231200
Инструмент ID 3054: instrument: BR, contract: 20231000
Инструмент ID 3055: instrument: BSPB, contract: 20230900
Инструмент ID 3056: instrument: BSPB, contract: 20240300
Инструмент ID 3057: instrument: BSPB, contract: 20231200
Инструмент ID 3058: instrument: BSPB, contract: 20250600
Инструмент ID 3059: instrument: BSPB, contract: 20250300
Инструмент ID 3060: instrument: BSPB, contract: 20240900
Инструмент ID 3061: instrument: BSPB, contract: 20240600
Инструмент ID 3062: instrument: BSPB, contract: 20241200
Инструмент ID 3066: instrument: UCAD, contract: 20230900
Инструмент ID 3067: instrument: UCAD, contract: 20240300
Инструмент ID 3068: instrument: UCAD, contract: 20231200
Инструмент ID 3069: instrument: UCAD, contract: 20250300
Инструмент ID 3070: instrument: UCAD, contract: 20240900
Инструмент ID 3071: instrument: UCAD, contract: 20240600
Инструмент ID 3072: instrument: UCAD, contract: 20241200
Инструмент ID 3073: instrument: COCOA, contract: 20250500
Инструмент ID 3074: instrument: COCOA, contract: 20250700
Инструмент ID 3075: instrument: COCOA, contract: 20250300
Инструмент ID 3076: instrument: COCOA, contract: 20241200
Инструмент ID 3077: instrument: COPPER, contract: 20250600
Инструмент ID 3078: instrument: COPPER, contract: 20250300
Инструмент ID 3079: instrument: COPPER, contract: 20241200
Инструмент ID 3080: instrument: UCHF, contract: 20230900
Инструмент ID 3081: instrument: UCHF, contract: 20240300
Инструмент ID 3082: instrument: UCHF, contract: 20231200
Инструмент ID 3083: instrument: UCHF, contract: 20250600
Инструмент ID 3084: instrument: UCHF, contract: 20250300
Инструмент ID 3085: instrument: UCHF, contract: 20240900
Инструмент ID 3086: instrument: UCHF, contract: 20240600
Инструмент ID 3087: instrument: UCHF, contract: 20241200
Инструмент ID 3088: instrument: CHMF, contract: 20230900
Инструмент ID 3089: instrument: CHMF, contract: 20240300
Инструмент ID 3090: instrument: CHMF, contract: 20231200
Инструмент ID 3091: instrument: CHMF, contract: 20250600
Инструмент ID 3092: instrument: CHMF, contract: 20250300
Инструмент ID 3093: instrument: CHMF, contract: 20240900
Инструмент ID 3094: instrument: CHMF, contract: 20240600
Инструмент ID 3095: instrument: CHMF, contract: 20241200
Инструмент ID 3096: instrument: CBOM, contract: 20230900
Инструмент ID 3097: instrument: CBOM, contract: 20240300
Инструмент ID 3098: instrument: CBOM, contract: 20231200
Инструмент ID 3099: instrument: CBOM, contract: 20250600
Инструмент ID 3100: instrument: CBOM, contract: 20250300
Инструмент ID 3101: instrument: CBOM, contract: 20240900
Инструмент ID 3102: instrument: CBOM, contract: 20240600
Инструмент ID 3103: instrument: CBOM, contract: 20241200
Инструмент ID 3104: instrument: CNY, contract: 20260300
Инструмент ID 3105: instrument: CNY, contract: 20251200
Инструмент ID 3106: instrument: CNY, contract: 20230900
Инструмент ID 3107: instrument: CNY, contract: 20260600
Инструмент ID 3108: instrument: CNY, contract: 20240300
Инструмент ID 3109: instrument: CNY, contract: 20231200
Инструмент ID 3110: instrument: CNY, contract: 20250600
Инструмент ID 3111: instrument: CNY, contract: 20250300
Инструмент ID 3112: instrument: CNY, contract: 20250900
Инструмент ID 3113: instrument: CNY, contract: 20240900
Инструмент ID 3114: instrument: CNY, contract: 20240600
Инструмент ID 3115: instrument: CNY, contract: 20241200
Инструмент ID 3116: instrument: CNI, contract: 20230900
Инструмент ID 3117: instrument: CNI, contract: 20240300
Инструмент ID 3118: instrument: CNI, contract: 20231200
Инструмент ID 3119: instrument: CNI, contract: 20250300
Инструмент ID 3120: instrument: CNI, contract: 20240900
Инструмент ID 3121: instrument: CNI, contract: 20240600
Инструмент ID 3122: instrument: CNI, contract: 20241200
Инструмент ID 3123: instrument: DJ30, contract: 20251200
Инструмент ID 3124: instrument: DJ30, contract: 20250600
Инструмент ID 3125: instrument: DJ30, contract: 20250300
Инструмент ID 3126: instrument: DJ30, contract: 20250900
Инструмент ID 3127: instrument: DJ30, contract: 20240900
Инструмент ID 3128: instrument: DJ30, contract: 20240600
Инструмент ID 3129: instrument: DJ30, contract: 20241200
Инструмент ID 3130: instrument: DAX, contract: 20251200
Инструмент ID 3131: instrument: DAX, contract: 20240300
Инструмент ID 3132: instrument: DAX, contract: 20231200
Инструмент ID 3133: instrument: DAX, contract: 20250600
Инструмент ID 3134: instrument: DAX, contract: 20250300
Инструмент ID 3135: instrument: DAX, contract: 20250900
Инструмент ID 3136: instrument: DAX, contract: 20240900
Инструмент ID 3137: instrument: DAX, contract: 20240600
Инструмент ID 3138: instrument: DAX, contract: 20241200
Инструмент ID 3139: instrument: ED, contract: 20230900
Инструмент ID 3140: instrument: ED, contract: 20240300
Инструмент ID 3141: instrument: ED, contract: 20231200
Инструмент ID 3142: instrument: ED, contract: 20250600
Инструмент ID 3143: instrument: ED, contract: 20250300
Инструмент ID 3144: instrument: ED, contract: 20250900
Инструмент ID 3145: instrument: ED, contract: 20240900
Инструмент ID 3146: instrument: ED, contract: 20240600
Инструмент ID 3147: instrument: ED, contract: 20241200
Инструмент ID 3149: instrument: EJPY, contract: 20231200
Инструмент ID 3150: instrument: EJPY, contract: 20240900
Инструмент ID 3151: instrument: EJPY, contract: 20240300
Инструмент ID 3152: instrument: EM, contract: 20250600
Инструмент ID 3153: instrument: EM, contract: 20250300
Инструмент ID 3154: instrument: EM, contract: 20250900
Инструмент ID 3155: instrument: EM, contract: 20240900
Инструмент ID 3156: instrument: EM, contract: 20241200
Инструмент ID 3157: instrument: Eu, contract: 20260300
Инструмент ID 3158: instrument: Eu, contract: 20251200
Инструмент ID 3159: instrument: Eu, contract: 20230900
Инструмент ID 3160: instrument: Eu, contract: 20260600
Инструмент ID 3161: instrument: Eu, contract: 20240300
Инструмент ID 3162: instrument: Eu, contract: 20231200
Инструмент ID 3163: instrument: Eu, contract: 20250600
Инструмент ID 3164: instrument: Eu, contract: 20250300
Инструмент ID 3165: instrument: Eu, contract: 20250900
Инструмент ID 3166: instrument: Eu, contract: 20240900
Инструмент ID 3167: instrument: Eu, contract: 20240600
Инструмент ID 3168: instrument: Eu, contract: 20241200
Инструмент ID 3169: instrument: FESH, contract: 20250600
Инструмент ID 3170: instrument: FESH, contract: 20250300
Инструмент ID 3171: instrument: FESH, contract: 20240900
Инструмент ID 3172: instrument: FESH, contract: 20240600
Инструмент ID 3173: instrument: FESH, contract: 20241200
Инструмент ID 3174: instrument: FLOT, contract: 20230900
Инструмент ID 3175: instrument: FLOT, contract: 20240300
Инструмент ID 3176: instrument: FLOT, contract: 20231200
Инструмент ID 3177: instrument: FLOT, contract: 20250600
Инструмент ID 3178: instrument: FLOT, contract: 20250300
Инструмент ID 3179: instrument: FLOT, contract: 20240900
Инструмент ID 3180: instrument: FLOT, contract: 20240600
Инструмент ID 3181: instrument: FLOT, contract: 20241200
Инструмент ID 3182: instrument: FNI, contract: 20230900
Инструмент ID 3183: instrument: FNI, contract: 20240300
Инструмент ID 3184: instrument: FNI, contract: 20231200
Инструмент ID 3185: instrument: FNI, contract: 20250600
Инструмент ID 3186: instrument: FNI, contract: 20250300
Инструмент ID 3187: instrument: FNI, contract: 20240900
Инструмент ID 3188: instrument: FNI, contract: 20240600
Инструмент ID 3189: instrument: FNI, contract: 20241200
Инструмент ID 3190: instrument: FEES, contract: 20230900
Инструмент ID 3191: instrument: FEES, contract: 20240300
Инструмент ID 3192: instrument: FEES, contract: 20231200
Инструмент ID 3193: instrument: FEES, contract: 20250600
Инструмент ID 3194: instrument: FEES, contract: 20250300
